City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,brisas de zicatela,15.8369,-97.0419,29.29,58,40,1.54,MX,1699922966
82,nurota,40.5614,65.6886,6.94,35,35,1.5,UZ,1699922967
83,somerset,40.5668,-74.5496,8.92,72,0,0.45,US,1699922701
84,jayapura,-2.5333,140.7,29.66,71,97,1.09,ID,1699922967
85,zhalantun,48.0,122.7167,-7.16,78,8,1.78,CN,1699922967
86,uturoa,-16.7333,-151.4333,26.95,83,61,6.91,PF,1699922967
87,scarborough,54.2797,-0.4044,10.92,84,64,3.13,GB,1699922745
88,malvan,16.0667,73.4667,25.25,58,95,1.92,IN,1699922968
89,kapa'a,22.0752,-159.319,29.99,84,100,6.17,US,1699922968
90,punta arenas,-53.15,-70.9167,3.06,70,20,8.23,CL,1699922718
91,sursk,53.0754,45.6846,5.25,87,100,5.17,RU,1699922968
92,constantia,44.1833,28.65,2.38,50,31,4.18,RO,1699922969
93,usinsk,65.9939,57.5281,-9.4,87,100,3.13,RU,1699922969
94,saint-louis,16.3333,-15.0,27.8,17,17,3.9,SN,1699922429
95,port hedland,-20.3167,118.5667,30.03,45,0,4.63,AU,1699922969
96,cannonvale,-20.2833,148.7,27.66,55,0,4.75,AU,1699922705
97,canutama,-6.5339,-64.3831,28.22,64,70,0.95,BR,1699922970
98,vilyuchinsk,52.9306,158.4028,-2.26,69,100,2.65,RU,1699922970
99,papatowai,-46.5619,169.4708,17.58,47,53,5.14,NZ,1699922970
100,akrehamn,59.2667,5.1833,5.79,48,20,5.66,NO,1699922970
101,new norfolk,-42.7826,147.0587,18.17,37,11,3.2,AU,1699922970
102,colonia,50.9333,6.95,12.68,76,20,7.72,DE,1699922726
103,enewetak,11.3474,162.3373,28.4,80,70,8.88,MH,1699922971
104,dalai,45.5,124.3,-5.58,81,5,2.86,CN,1699922971
105,itaueira,-7.6033,-43.0256,26.09,43,0,1.45,BR,1699922971
106,eirunepe,-6.6603,-69.8736,25.54,86,88,0.16,BR,1699922972
107,mekhe,15.1097,-16.6218,25.64,42,68,5.03,SN,1699922972
108,prado,-17.3411,-39.2208,24.62,82,23,6.43,BR,1699922830
109,shimoda,34.6667,138.95,16.2,69,87,0.74,JP,1699922972
110,jalai nur,49.45,117.7,-10.05,81,17,1.91,CN,1699922972
111,beyneu,45.3167,55.2,8.04,42,19,8.66,KZ,1699922973
112,prineville,44.2999,-120.8345,10.06,75,0,0.0,US,1699922756
113,humberto de campos,-2.5983,-43.4611,25.16,84,76,2.78,BR,1699922852
114,holualoa,19.6228,-155.9522,28.21,73,40,5.14,US,1699922973
115,hermanus,-34.4187,19.2345,15.64,77,11,9.8,ZA,1699922973
116,gazipasa,36.2694,32.3179,17.05,94,75,4.63,TR,1699922974
117,nan,18.8333,100.6667,21.01,100,100,1.03,TH,1699922974
118,fairfield,41.2668,-73.3162,6.16,76,75,1.54,US,1699922974
119,thompson,55.7435,-97.8558,-1.91,86,100,2.06,CA,1699922934
120,awjilah,29.1081,21.2869,18.58,85,0,3.75,LY,1699922974
121,hasaki,35.7333,140.8333,15.16,38,0,4.32,JP,1699922975
122,grande prairie,55.1667,-118.8027,-2.9,93,100,5.66,CA,1699922954
123,bayganin,48.6947,55.8742,5.34,73,100,8.07,KZ,1699922975
124,margaret river,-33.95,115.0667,17.11,75,100,5.28,AU,1699922975
125,east london,-33.0153,27.9116,15.94,73,99,2.85,ZA,1699922975
126,huanggang,23.677,116.9996,17.94,69,66,2.67,CN,1699922976
127,daru,-9.0763,143.2092,28.95,58,28,3.56,PG,1699922976
128,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699922976
129,ocos,14.5094,-92.1933,28.7,78,93,1.42,GT,1699922976
130,conduaga,8.862,117.4893,29.17,72,100,1.33,PH,1699922976
131,camana,-16.6228,-72.7111,19.34,82,91,3.21,PE,1699922976
132,lebu,-37.6167,-73.65,10.1,87,53,3.15,CL,1699922977
133,concepcion del oro,24.6333,-101.4167,13.38,81,92,2.55,MX,1699922977
